session_id,participant_id,group_id,mode_id,batch_id,image_id,answer,order_index,elapsed_ms_item,elapsed_ms_global,skipped,item_timeout,ts_server,ts_client,user_agent,ip_hash,started_at,finished_at,total_elapsed_ms
1528b637-5f70-4995-addd-07f3bc4fb6d6,P123456,Senior,A,2025A,patient_0,yes,0,26473,26473,0,0,2025-10-22T05:51:26,2025-10-22T05:51:26.960000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T05:51:00,2025-10-22T05:51:29.936110,173359
1528b637-5f70-4995-addd-07f3bc4fb6d6,P123456,Senior,A,2025A,patient_1,yes,1,701,27206,0,0,2025-10-22T05:51:27,2025-10-22T05:51:27.693000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T05:51:00,2025-10-22T05:51:29.936110,173359
ee989ab5-e01e-4f9a-bdda-edb68c006b12,test 1,Senior,A,2025A,patient_0,yes,0,4941358,4941358,0,0,2025-10-22T07:18:28,2025-10-22T07:18:28.842000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T05:56:07,2025-10-22T07:18:29.915751,4946692
ee989ab5-e01e-4f9a-bdda-edb68c006b12,test 1,Senior,A,2025A,patient_1,yes,1,4049,4945441,0,0,2025-10-22T07:18:29,2025-10-22T07:18:32.925000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T05:56:07,2025-10-22T07:18:29.915751,4946692
6e8d34bb-7c77-439b-9a73-c1792b464c18,Test2,Senior,A,2025A,patient_0,yes,0,760617,760617,0,0,2025-10-22T07:31:27,2025-10-22T07:31:27.366000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T07:18:46,2025-10-22T07:51:05.030290,1938269
6e8d34bb-7c77-439b-9a73-c1792b464c18,Test2,Senior,A,2025A,patient_1,yes,1,1107868,1919252,0,0,2025-10-22T07:50:42,2025-10-22T07:50:46.001000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T07:18:46,2025-10-22T07:51:05.030290,1938269
d4b1437b-a077-4d1f-856a-b1d926c7006f,P 1,Senior,A,2025A,patient_0,no,0,2822,2822,0,0,2025-10-22T07:51:16,2025-10-22T07:51:16.785000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T07:51:13,2025-10-22T07:51:21.977135,8005
d4b1437b-a077-4d1f-856a-b1d926c7006f,P 1,Senior,A,2025A,patient_1,no,1,3414,6255,0,0,2025-10-22T07:51:17,2025-10-22T07:51:20.218000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T07:51:13,2025-10-22T07:51:21.977135,8005
10362f3c-0c21-4f96-a6b3-68892592929a,1,Senior,B,2025A,sample_000_combined,yes,0,1063772,1703453,0,0,2025-10-22T08:19:54,2025-10-22T08:19:54.877000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T07:51:31,2025-10-22T08:19:57.384283,1705952
10362f3c-0c21-4f96-a6b3-68892592929a,1,Senior,B,2025A,sample_001_combined,yes,1,1202,1704719,0,0,2025-10-22T08:19:56,2025-10-22T08:19:56.143000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-22T07:51:31,2025-10-22T08:19:57.384283,1705952
