session_id,participant_id,group_id,mode_id,stage_index,subset_id,batch_id,image_id,answer,order_index,elapsed_ms_item,elapsed_ms_global,skipped,item_timeout,ts_server,ts_client,user_agent,ip_hash,started_at,finished_at,total_elapsed_ms
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_1,yes,0,235444,235444,0,0,2025-10-27T15:47:59,2025-10-27T15:47:59.336000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_100,yes,1,1360,236878,0,0,2025-10-27T15:48:00,2025-10-27T15:48:00.770000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_101,yes,2,530,237429,0,0,2025-10-27T15:48:01,2025-10-27T15:48:01.321000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_102,yes,3,359,237811,0,0,2025-10-27T15:48:01,2025-10-27T15:48:01.703000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_104,yes,4,128,237960,0,0,2025-10-27T15:48:01,2025-10-27T15:48:01.852000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_105,yes,5,118,238094,0,0,2025-10-27T15:48:01,2025-10-27T15:48:01.986000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_108,yes,6,118,238227,0,0,2025-10-27T15:48:02,2025-10-27T15:48:02.119000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_109,yes,7,132,238377,0,0,2025-10-27T15:48:02,2025-10-27T15:48:02.269000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_110,yes,8,115,238510,0,0,2025-10-27T15:48:02,2025-10-27T15:48:02.402000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
36623c0b-26ec-41e6-bc74-5b9dfeb6b4d8,peisong,Group1,multi_stage,0,A,2025A,patient_111,yes,9,102,238627,0,0,2025-10-27T15:48:02,2025-10-27T15:48:02.519000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",1bd018b5f121255f21438bd8a8a5471315a06e7b6fcff3fcb7243f491a60d9e2,2025-10-27T15:44:03,2025-10-27T15:48:48.527828,284628
